Datum,Prometni_dogodki
2022-01-01 06:00:00,"LOKACIJA: vzhodna mariborska obvoznica, med razcepom Dragučova in priključkom Pesnica | SMER: v obe smeri | TIP: delo
"
2022-01-01 13:00:00,"LOKACIJA: vzhodna mariborska obvoznica, med razcepom Dragučova in priključkom Pesnica | SMER: v obe smeri | TIP: delo
LOKACIJA: cesta čez prelaz Vršič | SMER: - | TIP: omejitev
"
2022-01-01 13:30:00,"LOKACIJA: štajerska avtocesta, med priključkom Celje-vzhod in počivališčem Zima | SMER: proti Mariboru | TIP: nesreča
LOKACIJA: vzhodna mariborska obvoznica, med razcepom Dragučova in priključkom Pesnica | SMER: v obe smeri | TIP: delo
"
2022-01-01 14:00:00,"LOKACIJA: štajerska avtocesta, med priključkom Celje-vzhod in počivališčem Zima | SMER: proti Mariboru | TIP: nesreča
LOKACIJA: vzhodna mariborska obvoznica, med razcepom Dragučova in priključkom Pesnica | SMER: v obe smeri | TIP: delo
LOKACIJA: mejni prehod Obrežje | SMER: vstop | TIP: čakanje
"
2022-01-01 14:30:00,"LOKACIJA: štajerska avtocesta, med priključkom Celje-vzhod in počivališčem Zima | SMER: proti Mariboru | TIP: nesreča
LOKACIJA: mejni prehod Obrežje | SMER: vstop | TIP: čakanje
"
2022-01-01 15:30:00,"LOKACIJA: mejni prehod Obrežje | SMER: vstop | TIP: čakanje
"
2022-01-01 17:00:00,"LOKACIJA: vzhodna mariborska obvoznica, med razcepom Dragučova in priključkom Pesnica | SMER: v obe smeri | TIP: delo
LOKACIJA: mejni prehod Dobovec | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Obrežje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Slovenska vas | SMER: vstop | TIP: čakanje
"
2022-01-01 17:30:00,"LOKACIJA: vzhodna mariborska obvoznica, med razcepom Dragučova in priključkom Pesnica | SMER: v obe smeri | TIP: delo
LOKACIJA: mejni prehod Obrežje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Dobovec | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Slovenska vas | SMER: vstop | TIP: čakanje
"
2022-01-01 18:00:00,"LOKACIJA: vzhodna mariborska obvoznica, med razcepom Dragučova in priključkom Pesnica | SMER: v obe smeri | TIP: delo
LOKACIJA: mejni prehod Obrežje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Dobovec | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Slovenska vas | SMER: vstop | TIP: čakanje
"
2022-01-01 18:30:00,"LOKACIJA: glavna cesta Črnuče-Tomačevo, med Brnčičevo ulico in Tomačevim | SMER: - | TIP: zaprt prometni pas
LOKACIJA: vzhodna mariborska obvoznica, med razcepom Dragučova in priključkom Pesnica | SMER: v obe smeri | TIP: delo
LOKACIJA: mejni prehod Obrežje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Metlika | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Dobovec | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Slovenska vas | SMER: vstop | TIP: čakanje
"
2022-01-01 20:00:00,"LOKACIJA: glavna cesta Celje-Rogaška Slatina, Senovica | SMER: - | TIP: prometna nesreča
LOKACIJA: mejni prehod Obrežje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Metlika | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Slovenska vas | SMER: vstop | TIP: čakanje
"
2022-01-02 06:00:00,"LOKACIJA: vzhodna mariborska obvoznica, med razcepom Dragučova in priključkom Pesnica | SMER: v obe smeri | TIP: delo
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
"
2022-01-02 06:30:00,"LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
"
2022-01-02 07:00:00,"LOKACIJA: vzhodna mariborska obvoznica, med razcepom Dragučova in priključkom Pesnica | SMER: v obe smeri | TIP: delo
"
2022-01-02 08:00:00,"LOKACIJA: štajerska avtocesta, pred uvozom Slovenske Konjice | SMER: proti Ljubljani | TIP: delo
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
"
2022-01-02 08:30:00,"LOKACIJA: štajerska avtocesta, pred uvozom Slovenske Konjice | SMER: proti Ljubljani | TIP: delo
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Obrežje | SMER: vstop | TIP: čakanje
"
2022-01-02 09:00:00,"LOKACIJA: vzhodna mariborska obvoznica, med razcepom Dragučova in priključkom Pesnica | SMER: v obe smeri | TIP: delo
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Obrežje | SMER: vstop | TIP: čakanje
"
2022-01-02 09:30:00,"LOKACIJA: vzhodna mariborska obvoznica, med razcepom Dragučova in priključkom Pesnica | SMER: v obe smeri | TIP: delo
LOKACIJA: mejni prehod Obrežje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
"
2022-01-02 10:00:00,"LOKACIJA: štajerska avtocesta, pred uvozom Slovenske Konjice | SMER: proti Ljubljani | TIP: delo
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Obrežje | SMER: vstop | TIP: čakanje
"
2022-01-02 10:30:00,"LOKACIJA: štajerska avtocesta, pred uvozom Slovenske Konjice | SMER: proti Ljubljani | TIP: delo
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Obrežje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Slovenska vas | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Starod | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Jelšane | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Dobovec | SMER: vstop | TIP: čakanje
"
2022-01-02 11:00:00,"LOKACIJA: štajerska avtocesta, pred uvozom Slovenske Konjice | SMER: proti Ljubljani | TIP: delo
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Obrežje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Slovenska vas | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Starod | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Jelšane | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Dobovec | SMER: vstop | TIP: čakanje
"
2022-01-02 11:30:00,"LOKACIJA: vzhodna mariborska obvoznica, med razcepom Dragučova in priključkom Pesnica | SMER: v obe smeri | TIP: delo
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Obrežje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Slovenska vas | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Jelšane | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Dragonja | SMER: vstop | TIP: čakanje
"
2022-01-02 12:00:00,"LOKACIJA: vzhodna mariborska obvoznica, med razcepom Dragučova in priključkom Pesnica | SMER: v obe smeri | TIP: delo
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Obrežje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Slovenska vas | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Jelšane | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Sečovlje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Starod | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Dragonja | SMER: vstop | TIP: čakanje
"
2022-01-02 12:30:00,"LOKACIJA: štajerska avtocesta, pred uvozom Slovenske Konjice | SMER: proti Ljubljani | TIP: delo
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Obrežje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Slovenska vas | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Jelšane | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Sečovlje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Starod | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Dragonja | SMER: vstop | TIP: čakanje
"
2022-01-02 13:00:00,"LOKACIJA: štajerska avtocesta, med priključkom Blagovica in predorom Podmilj | SMER: proti Mariboru | TIP: delo
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Obrežje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Slovenska vas | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Jelšane | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Sečovlje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Starod | SMER: vstop | TIP: čakanje
"
2022-01-02 13:30:00,"LOKACIJA: regionalna cesta Vrhnika-Borovnica, Dol pri Borovnici | SMER: - | TIP: nesreča
LOKACIJA: pred predorom Karavanke | SMER: proti Avstriji | TIP: zastoj
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Obrežje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Slovenska vas | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Jelšane | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Dragonja | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Sečovlje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Starod | SMER: vstop | TIP: čakanje
"
2022-01-02 14:00:00,"LOKACIJA: regionalna cesta Vrhnika-Borovnica, Dol pri Borovnici | SMER: - | TIP: nesreča
LOKACIJA: pred predorom Karavanke | SMER: proti Avstriji | TIP: zastoj
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Obrežje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Slovenska vas | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Jelšane | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Metlika | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Dobovec | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Starod | SMER: vstop | TIP: čakanje
"
2022-01-02 14:30:00,"LOKACIJA: štajerska avtocesta, pred uvozom Slovenske Konjice | SMER: proti Ljubljani | TIP: delo
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Obrežje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Slovenska vas | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Jelšane | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Metlika | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Dobovec | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Starod | SMER: vstop | TIP: čakanje
"
2022-01-02 15:30:00,"LOKACIJA: dolenjska avtocesta, med priključkoma Trebnje-vzhod in Trebnje-zahod | SMER: proti Ljubljani | TIP: pokvarjeno vozilo
LOKACIJA: vzhodna mariborska obvoznica, med razcepom Dragučova in krožiščem Pesnica | SMER: proti Avstriji | TIP: delo
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Obrežje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Slovenska vas | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Jelšane | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Metlika | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Dobovec | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Starod | SMER: vstop | TIP: čakanje
"
2022-01-02 17:00:00,"LOKACIJA: gorenjska avtocesta, med počivališčem Povodje in priključkom Šmartno | SMER: proti Ljubljani | TIP: prometna nesreča
LOKACIJA: regionalna cesta Kranjska Gora - Gozd Martuljek, Kranjska Gora | SMER: - | TIP: zastoj
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Obrežje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Slovenska vas | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Metlika | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Dobovec | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Starod | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Rigonce | SMER: vstop | TIP: čakanje
"
2022-01-02 17:30:00,"LOKACIJA: gorenjska avtocesta, med počivališčem Povodje in priključkom Šmartno | SMER: proti Ljubljani | TIP: prometna nesreča
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Obrežje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Slovenska vas | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Metlika | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Dobovec | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Starod | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Rigonce | SMER: vstop | TIP: čakanje
LOKACIJA: pred prehodom Šentilj | SMER: proti Avstriji | TIP: zastoj
"
2022-01-02 18:00:00,"LOKACIJA: gorenjska avtocesta, med počivališčem Povodje in priključkom Šmartno | SMER: proti Ljubljani | TIP: prometna nesreča
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Obrežje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Slovenska vas | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Starod | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Dobovec | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Metlika | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Rigonce | SMER: vstop | TIP: čakanje
LOKACIJA: pred prehodom Šentilj | SMER: proti Avstriji | TIP: zastoj
"
2022-01-02 18:30:00,"LOKACIJA: gorenjska avtocesta, med počivališčem Povodje in priključkom Šmartno | SMER: proti Ljubljani | TIP: zastoj
LOKACIJA: mejni prehod Obrežje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Slovenska vas | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Starod | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Dobovec | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Metlika | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Rigonce | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Bistrica ob Sotli | SMER: vstop | TIP: čakanje
"
2022-01-02 18:30:00,"LOKACIJA: mejni prehod Obrežje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Slovenska vas | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Starod | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Dobovec | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Metlika | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Rigonce | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Bistrica ob Sotli | SMER: vstop | TIP: čakanje
"
2022-01-02 20:00:00,"LOKACIJA: primorska avtocesta, med priključkom Unec in počivališčem Lom | SMER: proti Ljubljani | TIP: oviran promet
LOKACIJA: mejni prehod Obrežje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Bistrica ob Sotli | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Dobovec | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Zavrč | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Slovenska vas | SMER: vstop | TIP: čakanje
LOKACIJA: mejni prehod Rigonce | SMER: vstop | TIP: čakanje
"
2022-01-03 05:30:00,"LOKACIJA: vzhodna mariborska obvoznica, med razcepom Dragučova in krožiščem Pesnica | SMER: proti Avstriji | TIP: delo
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
"
2022-01-03 06:00:00,"LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
"
2022-01-03 06:30:00,"LOKACIJA: vzhodna mariborska obvoznica, med razcepom Dragučova in krožiščem Pesnica | SMER: proti Avstriji | TIP: delo
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
"
2022-01-03 07:00:00,"LOKACIJA: mariborska vzhodna obvoznica, pred razcepom Dragučova | SMER: proti Avstriji | TIP: pokvarjeno vozilo
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
"
2022-01-03 08:00:00,"LOKACIJA: vzhodna mariborska obvoznica, med razcepom Dragučova in krožiščem Pesnica | SMER: proti Avstriji | TIP: delo
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
"
2022-01-03 08:30:00,"LOKACIJA: vzhodna mariborska obvoznica, med razcepom Dragučova in krožiščem Pesnica | SMER: proti Avstriji | TIP: delo
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
"
2022-01-03 09:00:00,"LOKACIJA: štajerska avtocesta, izvoz Fram | SMER: proti Ljubljani | TIP: pokvarjeno vozilo
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
"
2022-01-03 09:30:00,"LOKACIJA: štajerska avtocesta, pred priključkom Celje-zahod | SMER: proti Mariboru | TIP: povožena žival
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
"
2022-01-03 10:00:00,"LOKACIJA: štajerska avtocesta, med priključkoma Maribor-jug in Slivnica | SMER: proti Mariboru | TIP: pokvarjeno vozilo
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
"
2022-01-03 10:30:00,"LOKACIJA: severna ljubljanska obvoznica, razcep Koseze | SMER: iz smeri Podutika proti Brdu | TIP: pokvarjeno vozilo
LOKACIJA: štajerska avtocesta, razcep Slivnica | SMER: proti Mariboru | TIP: pokvarjeno vozilo
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
"
2022-01-03 11:00:00,"LOKACIJA: primorska avtocesta, med razcepom Gabrk in priključkom Senožeče | SMER: proti Ljubljani | TIP: delo
LOKACIJA: štajerska avtocesta, razcep Slivnica | SMER: proti Mariboru | TIP: vozilo
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
"
2022-01-03 11:30:00,"LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
"
2022-01-03 12:00:00,"LOKACIJA: primorska avtocesta, med razcepom Gabrk in priključkom Senožeče | SMER: proti Ljubljani | TIP: delo
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
"
2022-01-03 12:30:00,"LOKACIJA: primorska avtocesta, med razcepom Gabrk in priključkom Senožeče | SMER: proti Ljubljani | TIP: delo
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
"
2022-01-03 13:00:00,"LOKACIJA: primorska avtocesta, med razcepom Gabrk in priključkom Senožeče | SMER: proti Ljubljani | TIP: delo
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
"
2022-01-03 14:00:00,"LOKACIJA: gorenjska avtocesta, uvoz Brezje | SMER: proti Ljubljani | TIP: vozilo
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
"
2022-01-03 14:30:00,"LOKACIJA: štajerska avtocesta, uvoz Fram | SMER: proti Mariboru | TIP: delo
LOKACIJA: pomurska avtocesta, med razcepom Dolga vas in Lendavo | SMER: proti Madžarski | TIP: delo
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
"
2022-01-03 15:30:00,"LOKACIJA: vzhodna mariborska obvoznica, med razcepom Dragučova in priključkom Pesnica | SMER: v obe smeri | TIP: delo
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
"
2022-01-03 16:30:00,"LOKACIJA: vzhodna mariborska obvoznica, med razcepom Dragučova in priključkom Pesnica | SMER: v obe smeri | TIP: delo
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
"
2022-01-03 17:00:00,"LOKACIJA: vzhodna mariborska obvoznica, med razcepom Dragučova in priključkom Pesnica | SMER: v obe smeri | TIP: delo
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
"
2022-01-03 17:30:00,"LOKACIJA: gorenjska avtocesta, za priključkom Šmartno | SMER: proti Ljubljani | TIP: pokvarjeno vozilo
LOKACIJA: štajerska avtocesta, pred razcepom Zadobrova | SMER: proti Ljubljani | TIP: pokvarjeno vozilo
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
"
2022-01-03 18:00:00,"LOKACIJA: gorenjska avtocesta, za priključkom Šmartno | SMER: proti Ljubljani | TIP: pokvarjeno vozilo
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
"
2022-01-03 18:30:00,"LOKACIJA: vzhodna mariborska obvoznica, med razcepom Dragučova in priključkom Pesnica | SMER: v obe smeri | TIP: delo
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
"
2022-01-03 22:00:00,"LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: čakanje
"
2022-01-04 05:30:00,"LOKACIJA: vzhodna mariborska obvoznica, med razcepom Dragučova in priključkom Pesnica | SMER: v obe smeri | TIP: delo
"
2022-01-04 06:00:00,"LOKACIJA: vzhodna mariborska obvoznica, med razcepom Dragučova in priključkom Pesnica | SMER: v obe smeri | TIP: delo
"
2022-01-04 06:30:00,"LOKACIJA: vzhodna mariborska obvoznica, med razcepom Dragučova in priključkom Pesnica | SMER: v obe smeri | TIP: delo
"
2022-01-04 07:00:00,"LOKACIJA: vzhodna mariborska obvoznica, med razcepom Dragučova in priključkom Pesnica | SMER: v obe smeri | TIP: delo
"
2022-01-04 07:00:00,"LOKACIJA: vzhodna ljubljanska obvoznica, med priključkom Bizovik in predorom Golovec | SMER: proti Dolenjski | TIP: pokvarjeno vozilo
LOKACIJA: vzhodna mariborska obvoznica, med razcepom Dragučova in priključkom Pesnica | SMER: v obe smeri | TIP: delo
"
2022-01-04 08:00:00,"LOKACIJA: vzhodna mariborska obvoznica, izvoz Maribor-center | SMER: proti Ljubljani | TIP: pokvarjeno vozilo
LOKACIJA: dolenjska avtocesta, med priključkoma Ivančna Gorica in Bič | SMER: proti Obrežju | TIP: delo
"
2022-01-04 08:30:00,"LOKACIJA: dolenjska avtocesta, med priključkoma Ivančna Gorica in Bič | SMER: proti Obrežju | TIP: delo
"
2022-01-04 09:00:00,"LOKACIJA: dolenjska avtocesta, med priključkoma Ivančna Gorica in Bič | SMER: proti Obrežju | TIP: delo
LOKACIJA: predor Karavanke | SMER: proti Avstriji | TIP: zapora
"
2022-01-04 09:30:00,"LOKACIJA: dolenjska avtocesta, med priključkoma Ivančna Gorica in Bič | SMER: proti Obrežju | TIP: delo
LOKACIJA: štajerska avtocesta, med priključkoma Slovenska Bistrica-sever in -jug | SMER: v obe smeri | TIP: delo
"
2022-01-04 10:00:00,"LOKACIJA: dolenjska avtocesta, med priključkoma Ivančna Gorica in Bič | SMER: proti Obrežju | TIP: delo
LOKACIJA: štajerska avtocesta, med priključkoma Slovenska Bistrica-sever in -jug | SMER: v obe smeri | TIP: delo
"
2022-01-04 10:30:00,"LOKACIJA: dolenjska avtocesta, uvoz Grosuplje-vzhod | SMER: proti Obrežju | TIP: pokvarjeno vozilo
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: povečan promet
"
2022-01-04 11:00:00,"LOKACIJA: dolenjska avtocesta, uvoz Grosuplje-vzhod | SMER: proti Obrežju | TIP: pokvarjeno vozilo
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: povečan promet
"
2022-01-04 11:30:00,"LOKACIJA: dolenjska avtocesta, med priključkom Šmarje Sap in razcepom Malence | SMER: proti Ljubljani | TIP: delo
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: povečan promet
"
2022-01-04 12:00:00,"LOKACIJA: dolenjska avtocesta, med priključkom Šmarje Sap in razcepom Malence | SMER: proti Ljubljani | TIP: delo
LOKACIJA: mejni prehod Gruškovje | SMER: vstop | TIP: povečan promet
